,user_hr_id,unreal_daily,gross_daily,adj_net_daily,adj_net_month,gross_month,unreal_month,services_total,compensations_total,prev_month_net,total_net_month,deadline,payout_rate,change_plus_minus,zp_cash,company_cash,social,withdrawal,office_fees
0,90000,135,92,-46,-919,178,-52,-109,57,1438,322,1,0.37,120,21,68,47,82,118
1,90001,-10,119,163,1297,166,99,-459,150,-39,268,1,0.37,50,96,114,42,151,198
2,90002,-96,154,175,505,2,192,-102,125,360,-481,2,0.37,17,11,110,46,117,165
3,90003,181,163,28,405,79,-13,-122,24,-38,1436,2,0.37,12,116,145,4,191,119
4,90004,-91,-11,125,61,-96,75,-194,101,1467,324,1,0.37,16,52,139,25,18,156
5,90005,-83,151,-52,291,174,-90,-204,42,1805,577,1,0.37,124,68,65,21,28,118
6,90006,29,23,123,888,93,15,-236,198,919,1939,2,0.37,14,156,71,39,38,150
7,90007,-54,194,-58,218,7,138,-459,194,280,-73,1,0.37,-20,105,88,47,85,170
8,90008,200,-45,-35,369,107,88,-168,17,403,-290,1,0.37,-8,85,67,20,141,114
9,90009,157,-74,109,389,-14,57,-390,117,825,909,1,0.37,5,35,102,20,39,153
